week;region;unemployed;level;population;pass;pass_exist
2020-04-13 00:00:00;Бурятия;3902;;985937;1;0
2020-04-13 00:00:00;Владимирская;1107;;1358416;;1
2020-04-13 00:00:00;Волгоградская;1817;;2491036;1;0
2020-04-13 00:00:00;Вологодская;461;;1160445;;2
2020-04-13 00:00:00;Воронежская;710;;2324205;1;0
2020-04-13 00:00:00;Дагестан;3362;;3110858;0;1
2020-04-13 00:00:00;Еврейская АО;3714;;158305;0;1
2020-04-13 00:00:00;Забайкальский край;5646;;1059700;;1
2020-04-13 00:00:00;Ивановская;988;;997135;1;0
2020-04-13 00:00:00;Ингушетия;6089;;507061;1;0
2020-04-13 00:00:00;Иркутская;894;;2391193;;2
2020-04-13 00:00:00;Кабардино-Балкария;1139;;868350;1;0
2020-04-13 00:00:00;Калининградская;4390;;1012512;0;1
2020-04-13 00:00:00;Калмыкия;1819;;271135;0;1
2020-04-13 00:00:00;Калужская;476;;1002575;1;0
2020-04-13 00:00:00;Камчатский край;1837;;313016;;2
2020-04-13 00:00:00;Карачаево-Черкессия;3717;;465528;1;0
2020-04-13 00:00:00;Карелия;1058;;614064;1;0
2020-04-13 00:00:00;Кемеровская;1342;;2657854;1;0
2020-04-13 00:00:00;Кировская;3443;;1262402;1;0
2020-04-13 00:00:00;Коми;3276;;820473;;1
2020-04-13 00:00:00;Костромская;1909;;633385;1;0
2020-04-13 00:00:00;Краснодарский край;1044;;5675462;0;1
2020-04-13 00:00:00;Красноярский край;577;;2866255;0;1
2020-04-13 00:00:00;Крым;1860;;1912622;1;0
2020-04-13 00:00:00;Курганская;504;;827166;0;1
2020-04-13 00:00:00;Курская;1073;;1104008;1;0
2020-04-13 00:00:00;Ленинградская;432;;1875872;1;0
2020-04-13 00:00:00;Липецкая;5279;;1139371;0;1
2020-04-13 00:00:00;Магаданская;592;;140149;1;0
2020-04-13 00:00:00;Марий Эл;2999;;679417;1;0
2020-04-13 00:00:00;Мордовия;3065;;790197;1;0
2020-04-13 00:00:00;Московская;1007;;7690863;0;1
2020-04-13 00:00:00;Мурманская;1116;;741404;1;0
2020-04-13 00:00:00;Нижегородская;2276;;3202946;0;1
2020-04-13 00:00:00;Новгородская;3582;;596508;1;0
2020-04-13 00:00:00;Новосибирская;252;;2798170;1;0
2020-04-13 00:00:00;Омская;943;;1926665;;1
2020-04-13 00:00:00;Оренбургская;1961;;1956835;1;0
2020-04-13 00:00:00;Орловская;3750;;733498;1;0
2020-04-13 00:00:00;Пензенская;1135;;1305563;0;1
2020-04-13 00:00:00;Пермский край;682;;2599260;0;1
2020-04-13 00:00:00;Приморский край;150;;1895868;0;1
2020-04-13 00:00:00;Псковская;2289;;626115;1;0
2020-04-13 00:00:00;Ростовская;1244;;4197821;1;0
2020-04-13 00:00:00;Рязанская;146;;1108847;;2
2020-04-13 00:00:00;Самарская;1317;;3179532;1;0
2020-04-13 00:00:00;Санкт-Петербург;540;;5398064;1;0
2020-04-13 00:00:00;Саратовская;839;;2421895;1;0
2020-04-13 00:00:00;Саха;271;;971996;;3
2020-04-13 00:00:00;Сахалинская;3719;;488257;1;0
2020-04-13 00:00:00;Свердловская;444;;4310681;1;0
2020-04-13 00:00:00;Севастополь;837;;449138;0;0
2020-04-13 00:00:00;Северная Осетия;1239;;696837;1;0
2020-04-13 00:00:00;Смоленская;819;;934889;1;0
2020-04-13 00:00:00;Ставропольский край;370;;2803573;0;1
2020-04-13 00:00:00;Тамбовская;420;;1006748;;3
2020-04-13 00:00:00;Татарстан;3050;;3902888;0;1
2020-04-13 00:00:00;Тверская;606;;1260379;1;0
2020-04-13 00:00:00;Томская;55;;1079271;1;0
2020-04-13 00:00:00;Тульская;1048;;1466127;;2
2020-04-13 00:00:00;Тыва;797;;327383;1;0
2020-04-13 00:00:00;Тюменская;1470;;1537416;1;0
2020-04-13 00:00:00;Удмуртия;807;;1500955;1;0
2020-04-13 00:00:00;Ульяновская;133;;1229824;0;1
2020-04-13 00:00:00;Хабаровский край;232;;1315643;1;0
2020-04-13 00:00:00;Хакасия;283;;534262;1;0
2020-04-13 00:00:00;ХМАО;360;;1674676;1;0
2020-04-13 00:00:00;Челябинская;101;;3466369;1;0
2020-04-13 00:00:00;Чечня;487;;1478726;0;1
2020-04-13 00:00:00;Чувашия;873;;1217818;;1
2020-04-13 00:00:00;Ямало-Ненецкий АО;646;;544444;1;0
2020-04-13 00:00:00;Ярославская;0;;1253389;1;0
2020-04-20 00:00:00;Адыгея;598;;463088;0;1
2020-04-20 00:00:00;Алтай;1943;;220181;1;0
2020-04-20 00:00:00;Алтайский край;174;;2317153;1;0
2020-04-20 00:00:00;Амурская;6391;;790044;1;0
2020-04-20 00:00:00;Архангельская;1409;;1092424;0;1
2020-04-20 00:00:00;Астраханская;3006;;1005782;0;1
2020-04-20 00:00:00;Башкортостан;541;;4038151;0;1
2020-04-20 00:00:00;Белгородская;2508;;1549151;1;0
2020-04-20 00:00:00;Брянская;908;;1192491;0;1
2020-04-20 00:00:00;Бурятия;3267;;985937;1;0
2020-04-20 00:00:00;Владимирская;4546;;1358416;;1
2020-04-20 00:00:00;Волгоградская;565;;2491036;1;0
2020-04-20 00:00:00;Вологодская;1314;;1160445;;2
2020-04-20 00:00:00;Воронежская;1129;;2324205;1;0
2020-04-20 00:00:00;Дагестан;2549;;3110858;0;1
2020-04-20 00:00:00;Еврейская АО;3832;;158305;0;1
2020-04-20 00:00:00;Забайкальский край;2406;;1059700;;1
2020-04-20 00:00:00;Ивановская;3935;;997135;1;0
2020-04-20 00:00:00;Ингушетия;3274;;507061;1;0
2020-04-20 00:00:00;Иркутская;1882;;2391193;;2
2020-04-20 00:00:00;Кабардино-Балкария;1270;;868350;1;0
2020-04-20 00:00:00;Калининградская;743;;1012512;0;1
2020-04-20 00:00:00;Калмыкия;3075;;271135;0;1
2020-04-20 00:00:00;Калужская;3292;;1002575;1;0
2020-04-20 00:00:00;Камчатский край;1985;;313016;;2
2020-04-20 00:00:00;Карачаево-Черкессия;1445;;465528;1;0
2020-04-20 00:00:00;Карелия;3061;;614064;1;0
2020-04-20 00:00:00;Кемеровская;300;;2657854;1;0
2020-04-20 00:00:00;Кировская;1298;;1262402;1;0
2020-04-20 00:00:00;Коми;1245;;820473;;1
2020-04-20 00:00:00;Костромская;4725;;633385;1;0
2020-04-20 00:00:00;Краснодарский край;1268;;5675462;0;1
2020-04-20 00:00:00;Красноярский край;3705;;2866255;0;1
2020-04-20 00:00:00;Крым;17038;;1912622;1;0
2020-04-20 00:00:00;Курганская;3529;;827166;0;1
2020-04-20 00:00:00;Курская;640;;1104008;1;0
2020-04-20 00:00:00;Ленинградская;603;;1875872;1;0
2020-04-20 00:00:00;Липецкая;639;;1139371;0;1
2020-04-20 00:00:00;Магаданская;1831;;140149;1;0
2020-04-20 00:00:00;Марий Эл;1360;;679417;1;0
2020-04-20 00:00:00;Мордовия;1563;;790197;1;0
2020-04-20 00:00:00;Московская;660;;7690863;0;1
2020-04-20 00:00:00;Мурманская;4700;;741404;1;0
2020-04-20 00:00:00;Нижегородская;1514;;3202946;0;1
2020-04-20 00:00:00;Новгородская;1550;;596508;1;0
2020-04-20 00:00:00;Новосибирская;1147;;2798170;1;0
2020-04-20 00:00:00;Омская;691;;1926665;;1
2020-04-20 00:00:00;Оренбургская;157;;1956835;1;0
2020-04-20 00:00:00;Орловская;673;;733498;1;0
2020-04-20 00:00:00;Пензенская;205;;1305563;0;1
2020-04-20 00:00:00;Пермский край;1171;;2599260;0;1
2020-04-20 00:00:00;Приморский край;1017;;1895868;0;1
2020-04-20 00:00:00;Псковская;2913;;626115;1;0
2020-04-20 00:00:00;Ростовская;3563;;4197821;1;0
2020-04-20 00:00:00;Рязанская;472;;1108847;;2
2020-04-20 00:00:00;Самарская;2460;;3179532;1;0
2020-04-20 00:00:00;Санкт-Петербург;1143;;5398064;1;0
2020-04-20 00:00:00;Саратовская;527;;2421895;1;0
2020-04-20 00:00:00;Саха;2117;;971996;;3
2020-04-20 00:00:00;Сахалинская;134;;488257;1;0
2020-04-20 00:00:00;Свердловская;1697;;4310681;1;0
2020-04-20 00:00:00;Севастополь;1076;;449138;0;0
2020-04-20 00:00:00;Северная Осетия;775;;696837;1;0
2020-04-20 00:00:00;Смоленская;286;;934889;1;0
2020-04-20 00:00:00;Ставропольский край;399;;2803573;0;1
2020-04-20 00:00:00;Тамбовская;3537;;1006748;;3
2020-04-20 00:00:00;Татарстан;106;;3902888;0;1
2020-04-20 00:00:00;Тверская;793;;1260379;1;0
2020-04-20 00:00:00;Томская;314;;1079271;1;0
2020-04-20 00:00:00;Тульская;747;;1466127;;2
2020-04-20 00:00:00;Тыва;610;;327383;1;0
2020-04-20 00:00:00;Тюменская;402;;1537416;1;0
2020-04-20 00:00:00;Удмуртия;473;;1500955;1;0
2020-04-20 00:00:00;Ульяновская;378;;1229824;0;1
2020-04-20 00:00:00;Хабаровский край;2929;;1315643;1;0
2020-04-20 00:00:00;Хакасия;336;;534262;1;0
2020-04-20 00:00:00;ХМАО;2929;;1674676;1;0
2020-04-20 00:00:00;Челябинская;443;;3466369;1;0
2020-04-20 00:00:00;Чечня;695;;1478726;0;1
2020-04-20 00:00:00;Чувашия;238;;1217818;0;1
2020-04-20 00:00:00;Ямало-Ненецкий АО;416;;544444;1;0
2020-04-20 00:00:00;Ярославская;0;;1253389;1;0
2020-04-27 00:00:00;Адыгея;362;;463088;0;1
2020-04-27 00:00:00;Алтай;2021;;220181;1;0
2020-04-27 00:00:00;Алтайский край;167;;2317153;1;0
2020-04-27 00:00:00;Амурская;3546;;790044;1;0
2020-04-27 00:00:00;Архангельская;1377;;1092424;0;1
2020-04-27 00:00:00;Астраханская;1745;;1005782;0;1
2020-04-27 00:00:00;Башкортостан;1685;;4038151;0;1
2020-04-27 00:00:00;Белгородская;10345;;1549151;1;0
2020-04-27 00:00:00;Брянская;1083;;1192491;0;1
2020-04-27 00:00:00;Бурятия;1370;;985937;1;0
2020-04-27 00:00:00;Владимирская;779;;1358416;;1
2020-04-27 00:00:00;Волгоградская;1311;;2491036;1;0
2020-04-27 00:00:00;Вологодская;384;;1160445;;2
2020-04-27 00:00:00;Воронежская;1091;;2324205;1;0
2020-04-27 00:00:00;Дагестан;391;;3110858;0;1
2020-04-27 00:00:00;Еврейская АО;817;;158305;0;1
2020-04-27 00:00:00;Забайкальский край;403;;1059700;0;1
2020-04-27 00:00:00;Ивановская;1755;;997135;1;0
2020-04-27 00:00:00;Ингушетия;1497;;507061;1;0
2020-04-27 00:00:00;Иркутская;4727;;2391193;0;2
2020-04-27 00:00:00;Кабардино-Балкария;1840;;868350;1;0
2020-04-27 00:00:00;Калининградская;4312;;1012512;0;1
2020-04-27 00:00:00;Калмыкия;12989;;271135;0;1
2020-04-27 00:00:00;Калужская;678;;1002575;1;0
2020-04-27 00:00:00;Камчатский край;1686;;313016;;2
2020-04-27 00:00:00;Карачаево-Черкессия;311;;465528;1;0
2020-04-27 00:00:00;Карелия;1769;;614064;1;0
2020-04-27 00:00:00;Кемеровская;1131;;2657854;1;0
2020-04-27 00:00:00;Кировская;1064;;1262402;1;0
2020-04-27 00:00:00;Коми;175;;820473;;1
2020-04-27 00:00:00;Костромская;867;;633385;1;0
2020-04-27 00:00:00;Краснодарский край;403;;5675462;0;1
2020-04-27 00:00:00;Красноярский край;823;;2866255;0;1
2020-04-27 00:00:00;Крым;171;;1912622;1;0
2020-04-27 00:00:00;Курганская;2520;;827166;0;1
2020-04-27 00:00:00;Курская;1665;;1104008;1;0
2020-04-27 00:00:00;Ленинградская;144;;1875872;1;0
2020-04-27 00:00:00;Липецкая;2028;;1139371;0;1
2020-04-27 00:00:00;Марий Эл;396;;679417;1;0
2020-04-27 00:00:00;Мордовия;401;;790197;1;0
2020-04-27 00:00:00;Московская;612;;7690863;0;1
2020-04-27 00:00:00;Мурманская;91;;741404;1;0
2020-04-27 00:00:00;Нижегородская;396;;3202946;0;1
2020-04-27 00:00:00;Новгородская;395;;596508;1;0
2020-04-27 00:00:00;Новосибирская;651;;2798170;1;0
2020-04-27 00:00:00;Омская;583;;1926665;;1
2020-04-27 00:00:00;Оренбургская;4638;;1956835;1;0
2020-04-27 00:00:00;Орловская;788;;733498;1;0
2020-04-27 00:00:00;Пензенская;345;;1305563;0;1
2020-04-27 00:00:00;Пермский край;872;;2599260;0;1
2020-04-27 00:00:00;Приморский край;788;;1895868;0;1
2020-04-27 00:00:00;Псковская;372;;626115;1;0
2020-04-27 00:00:00;Ростовская;3354;;4197821;1;0
2020-04-27 00:00:00;Рязанская;494;;1108847;;2
2020-04-27 00:00:00;Самарская;1992;;3179532;1;0
2020-04-27 00:00:00;Санкт-Петербург;1932;;5398064;1;0
2020-04-27 00:00:00;Саратовская;1055;;2421895;1;0
2020-04-27 00:00:00;Саха;517;;971996;;3
2020-04-27 00:00:00;Сахалинская;886;;488257;1;0
2020-04-27 00:00:00;Свердловская;468;;4310681;1;0
2020-04-27 00:00:00;Севастополь;915;;449138;0;0
2020-04-27 00:00:00;Северная Осетия;218;;696837;1;0
2020-04-27 00:00:00;Смоленская;3639;;934889;1;0
2020-04-27 00:00:00;Ставропольский край;1091;;2803573;0;1
2020-04-27 00:00:00;Тамбовская;1308;;1006748;;3
2020-04-27 00:00:00;Татарстан;823;;3902888;0;1
2020-04-27 00:00:00;Тверская;794;;1260379;1;0
2020-04-27 00:00:00;Томская;395;;1079271;1;0
2020-04-27 00:00:00;Тульская;311;;1466127;0;2
2020-04-27 00:00:00;Тыва;475;;327383;1;0
2020-04-27 00:00:00;Тюменская;2303;;1537416;1;0
2020-04-27 00:00:00;Удмуртия;1048;;1500955;1;0
2020-04-27 00:00:00;Ульяновская;151;;1229824;0;1
2020-04-27 00:00:00;Хабаровский край;426;;1315643;1;0
2020-04-27 00:00:00;Хакасия;1295;;534262;1;0
2020-04-27 00:00:00;ХМАО;1268;;1674676;1;0
2020-04-27 00:00:00;Челябинская;383;;3466369;1;0
